,State,Year,Homicide rate
4337,OR,1/1/2015,5.5
4340,OR,1/1/2014,3.08
4341,OR,1/1/2015,2.8
4344,OR,1/1/2014,2.03
4345,OR,1/1/2015,1.7
4348,OR,1/1/2014,2.75
4349,OR,1/1/2015,2.9
4352,OR,1/1/2014,4.14
4353,OR,1/1/2015,3.5
4359,OR,1/1/2014,3.65
4360,OR,1/1/2015,4.0
4367,OR,1/1/2014,1.55
4368,OR,1/1/2015,1.7
4370,OR,1/1/2015,1.9
4371,PA,1/1/2014,1.71
4372,PA,1/1/2015,1.8
4373,PA,1/1/2014,7.63
4374,PA,1/1/2015,8.0
4375,PA,1/1/2014,2.25
4377,PA,1/1/2014,4.22
4378,PA,1/1/2015,4.9
4381,PA,1/1/2014,3.79
4382,PA,1/1/2015,3.8
4383,PA,1/1/2014,2.92
4384,PA,1/1/2015,2.4
4385,PA,1/1/2014,2.29
4386,PA,1/1/2015,2.1
4387,PA,1/1/2014,1.61
4388,PA,1/1/2015,1.6
4389,PA,1/1/2014,1.57
4390,PA,1/1/2015,1.6
4391,PA,1/1/2014,2.36
4392,PA,1/1/2015,2.7
4395,PA,1/1/2014,2.24
4399,PA,1/1/2014,1.65
4400,PA,1/1/2015,1.7
4409,PA,1/1/2014,4.0
4410,PA,1/1/2015,5.1
4411,PA,1/1/2014,1.0
4412,PA,1/1/2015,1.4
4413,PA,1/1/2014,5.77
4414,PA,1/1/2015,5.9
4415,PA,1/1/2014,7.49
4416,PA,1/1/2015,7.1
4419,PA,1/1/2014,2.46
4420,PA,1/1/2015,3.2
4421,PA,1/1/2014,3.37
4422,PA,1/1/2015,3.3
4425,PA,1/1/2014,1.89
4426,PA,1/1/2015,2.1
4429,PA,1/1/2014,4.01
4430,PA,1/1/2015,3.8
4434,PA,1/1/2015,2.3
4439,PA,1/1/2014,1.74
4440,PA,1/1/2015,1.7
4441,PA,1/1/2014,2.66
4442,PA,1/1/2015,2.7
4443,PA,1/1/2014,3.72
4444,PA,1/1/2015,5.3
4445,PA,1/1/2014,2.53
4446,PA,1/1/2015,2.2
4447,PA,1/1/2014,4.25
4448,PA,1/1/2015,4.7
4449,PA,1/1/2014,3.77
4450,PA,1/1/2015,4.4
4451,PA,1/1/2014,2.08
4452,PA,1/1/2015,2.1
4455,PA,1/1/2014,1.7
4456,PA,1/1/2015,1.6
4459,PA,1/1/2014,3.36
4460,PA,1/1/2015,3.4
4461,PA,1/1/2014,2.27
4462,PA,1/1/2015,2.1
4465,PA,1/1/2014,2.94
4466,PA,1/1/2015,3.1
4467,PA,1/1/2014,2.43
4468,PA,1/1/2015,1.8
4471,PA,1/1/2014,22.86
4472,PA,1/1/2015,20.3
4477,PA,1/1/2014,2.51
4478,PA,1/1/2015,2.0
4481,PA,1/1/2014,2.18
4482,PA,1/1/2015,2.1
4493,PA,1/1/2014,3.74
4495,PA,1/1/2014,2.22
4496,PA,1/1/2015,2.5
4497,PA,1/1/2014,3.32
4498,PA,1/1/2015,4.3
4499,PA,1/1/2014,1.99
4500,PA,1/1/2015,2.1
4503,PA,1/1/2014,3.39
4504,PA,1/1/2015,3.9
4507,RI,1/1/2014,1.44
4508,RI,1/1/2015,1.3
4511,RI,1/1/2014,4.1
4512,RI,1/1/2015,3.7
4515,SC,1/1/2014,6.09
4516,SC,1/1/2015,5.9
4517,SC,1/1/2014,7.03
4518,SC,1/1/2015,7.8
4519,SC,1/1/2014,14.55
4520,SC,1/1/2015,14.9
4521,SC,1/1/2014,7.97
4522,SC,1/1/2015,7.8
4523,SC,1/1/2014,12.34
4525,SC,1/1/2014,6.26
4526,SC,1/1/2015,7.8
4527,SC,1/1/2014,4.83
4528,SC,1/1/2015,6.1
4529,SC,1/1/2014,6.59
4530,SC,1/1/2015,6.2
4531,SC,1/1/2014,9.38
4533,SC,1/1/2014,10.76
4534,SC,1/1/2015,10.4
4535,SC,1/1/2014,8.39
4536,SC,1/1/2015,8.6
4537,SC,1/1/2014,10.72
4538,SC,1/1/2015,9.7
4539,SC,1/1/2014,5.94
4540,SC,1/1/2015,6.2
4541,SC,1/1/2014,9.56
4542,SC,1/1/2015,7.0
4543,SC,1/1/2014,14.73
4544,SC,1/1/2015,16.5
4545,SC,1/1/2014,11.68
4546,SC,1/1/2015,13.5
4547,SC,1/1/2014,10.87
4548,SC,1/1/2015,12.6
4549,SC,1/1/2014,5.3
4550,SC,1/1/2015,5.6
4551,SC,1/1/2014,6.47
4552,SC,1/1/2015,7.5
4553,SC,1/1/2014,10.67
4554,SC,1/1/2015,10.5
4555,SC,1/1/2014,8.98
4556,SC,1/1/2015,7.7
4557,SC,1/1/2014,6.43
4558,SC,1/1/2015,8.8
4559,SC,1/1/2014,6.16
4560,SC,1/1/2015,5.9
4561,SC,1/1/2014,6.05
4562,SC,1/1/2015,7.4
4563,SC,1/1/2014,12.83
4564,SC,1/1/2015,15.3
4565,SC,1/1/2014,7.19
4566,SC,1/1/2015,6.9
4567,SC,1/1/2014,15.5
4568,SC,1/1/2015,18.0
4569,SC,1/1/2014,6.54
4570,SC,1/1/2015,7.8
4571,SC,1/1/2014,6.7
4572,SC,1/1/2015,9.5
4573,SC,1/1/2014,7.65
4574,SC,1/1/2015,9.1
4575,SC,1/1/2014,15.18
4576,SC,1/1/2015,12.7
4577,SC,1/1/2014,4.63
4578,SC,1/1/2015,5.0
4579,SC,1/1/2014,11.4
4580,SC,1/1/2015,14.3
4581,SC,1/1/2014,16.84
4582,SC,1/1/2015,16.3
4585,SC,1/1/2014,4.64
4586,SC,1/1/2015,4.8
4587,SC,1/1/2014,5.74
4588,SC,1/1/2015,4.7
4589,SC,1/1/2014,14.85
4590,SC,1/1/2015,14.6
4591,SC,1/1/2014,4.28
4592,SC,1/1/2015,5.2
4593,SC,1/1/2014,9.86
4594,SC,1/1/2015,8.0
4595,SC,1/1/2014,7.36
4596,SC,1/1/2015,8.3
4597,SC,1/1/2014,8.35
4598,SC,1/1/2015,7.9
4599,SC,1/1/2014,10.6
4600,SC,1/1/2015,11.2
4601,SC,1/1/2014,5.39
4602,SC,1/1/2015,8.5
4603,SC,1/1/2014,13.02
4604,SC,1/1/2015,14.8
4605,SC,1/1/2014,5.33
4606,SC,1/1/2015,5.8
4690,SD,1/1/2014,2.45
4691,SD,1/1/2015,2.7
4694,SD,1/1/2014,2.07
4695,SD,1/1/2015,2.8
4704,SD,1/1/2014,18.23
4705,SD,1/1/2015,14.6
4711,SD,1/1/2015,18.1
4724,TN,1/1/2014,4.66
4725,TN,1/1/2015,4.4
4726,TN,1/1/2014,5.28
4727,TN,1/1/2015,4.7
4732,TN,1/1/2014,3.36
4733,TN,1/1/2015,2.8
4734,TN,1/1/2014,3.43
4735,TN,1/1/2015,4.0
4736,TN,1/1/2014,5.28
4740,TN,1/1/2014,7.46
4742,TN,1/1/2014,3.71
4743,TN,1/1/2015,2.3
4744,TN,1/1/2014,7.44
4745,TN,1/1/2015,8.0
4746,TN,1/1/2014,9.44
4747,TN,1/1/2015,10.3
4748,TN,1/1/2014,6.77
4752,TN,1/1/2014,6.49
4753,TN,1/1/2015,6.7
4754,TN,1/1/2014,4.69
4755,TN,1/1/2015,5.0
4758,TN,1/1/2014,7.69
4759,TN,1/1/2015,7.7
4760,TN,1/1/2014,12.16
4761,TN,1/1/2015,10.0
4766,TN,1/1/2014,5.07
4767,TN,1/1/2015,6.3
4768,TN,1/1/2014,6.38
4769,TN,1/1/2015,5.6
4770,TN,1/1/2014,7.08
4771,TN,1/1/2015,6.8
4776,TN,1/1/2014,4.99
4777,TN,1/1/2015,5.7
4782,TN,1/1/2014,4.23
4783,TN,1/1/2015,5.2
4784,TN,1/1/2014,10.22
4786,TN,1/1/2014,3.27
4787,TN,1/1/2015,3.8
4788,TN,1/1/2014,6.28
4789,TN,1/1/2015,7.2
4792,TN,1/1/2014,13.4
4793,TN,1/1/2015,12.8
4794,TN,1/1/2014,6.62
4795,TN,1/1/2015,6.7
4796,TN,1/1/2014,3.3
4797,TN,1/1/2015,3.5
4799,TN,1/1/2015,8.4
4802,TN,1/1/2014,7.18
4803,TN,1/1/2015,6.2
4812,TN,1/1/2014,4.31
4813,TN,1/1/2015,3.8
4816,TN,1/1/2014,6.68
4817,TN,1/1/2015,6.0
4820,TN,1/1/2014,8.27
4821,TN,1/1/2015,11.1
4822,TN,1/1/2014,4.17
4823,TN,1/1/2015,5.0
4826,TN,1/1/2014,7.02
4827,TN,1/1/2015,7.5
4830,TN,1/1/2014,7.24
4831,TN,1/1/2015,7.2
4832,TN,1/1/2014,9.31
4833,TN,1/1/2015,11.1
4838,TN,1/1/2014,9.41
4839,TN,1/1/2015,9.3
4840,TN,1/1/2014,3.59
4841,TN,1/1/2015,4.0
4842,TN,1/1/2014,7.27
4843,TN,1/1/2015,6.5
4845,TN,1/1/2015,12.7
4846,TN,1/1/2014,5.93
4847,TN,1/1/2015,6.4
4848,TN,1/1/2014,7.19
4849,TN,1/1/2015,6.7
4853,TN,1/1/2015,7.2
4864,TN,1/1/2014,3.5
4865,TN,1/1/2015,3.5
4866,TN,1/1/2014,5.57
4868,TN,1/1/2014,6.1
4869,TN,1/1/2015,6.3
4870,TN,1/1/2014,6.82
4871,TN,1/1/2015,6.8
4872,TN,1/1/2014,4.33
4873,TN,1/1/2015,4.3
4878,TN,1/1/2014,2.68
4879,TN,1/1/2015,2.5
4880,TN,1/1/2014,16.81
4881,TN,1/1/2015,16.7
4886,TN,1/1/2014,3.04
4887,TN,1/1/2015,3.1
4888,TN,1/1/2014,3.01
4889,TN,1/1/2015,3.3
4890,TN,1/1/2014,6.36
4891,TN,1/1/2015,6.1
4900,TN,1/1/2014,3.99
4901,TN,1/1/2015,3.6
4902,TN,1/1/2014,4.49
4903,TN,1/1/2015,3.4
4904,TN,1/1/2014,9.23
4905,TN,1/1/2015,8.9
4907,TN,1/1/2015,4.1
4908,TN,1/1/2014,5.69
4909,TN,1/1/2015,5.9
4910,TN,1/1/2014,2.13
4911,TN,1/1/2015,1.9
4912,TN,1/1/2014,2.82
4913,TN,1/1/2015,2.9
4914,TX,1/1/2014,6.7
4915,TX,1/1/2015,7.0
4918,TX,1/1/2014,5.76
4919,TX,1/1/2015,5.8
4920,TX,1/1/2014,9.82
4921,TX,1/1/2015,9.3
4925,TX,1/1/2014,6.56
4926,TX,1/1/2015,4.7
4933,TX,1/1/2014,3.83
4934,TX,1/1/2015,3.8
4939,TX,1/1/2014,6.27
4940,TX,1/1/2015,5.2
4941,TX,1/1/2014,7.63
4942,TX,1/1/2015,7.0
4947,TX,1/1/2014,9.92
4948,TX,1/1/2015,9.7
4949,TX,1/1/2014,3.91
4950,TX,1/1/2015,4.1
4951,TX,1/1/2014,2.85
4952,TX,1/1/2015,3.1
4957,TX,1/1/2014,4.12
4958,TX,1/1/2015,4.0
4969,TX,1/1/2014,2.29
4970,TX,1/1/2015,2.4
4976,TX,1/1/2015,7.4
4979,TX,1/1/2014,6.83
4980,TX,1/1/2015,6.1
4982,TX,1/1/2015,3.3
4993,TX,1/1/2014,1.84
4994,TX,1/1/2015,1.6
4998,TX,1/1/2015,8.5
4999,TX,1/1/2014,2.46
5000,TX,1/1/2015,3.7
5005,TX,1/1/2014,5.61
5006,TX,1/1/2015,5.6
5007,TX,1/1/2014,2.91
5008,TX,1/1/2015,3.3
5017,TX,1/1/2014,10.11
5018,TX,1/1/2015,8.5
5027,TX,1/1/2014,2.54
5028,TX,1/1/2015,1.9
5038,TX,1/1/2014,6.01
5039,TX,1/1/2015,6.0
5042,TX,1/1/2014,2.83
5043,TX,1/1/2015,2.9
5044,TX,1/1/2014,4.11
5045,TX,1/1/2015,4.6
5046,TX,1/1/2014,4.3
5050,TX,1/1/2014,4.26
5051,TX,1/1/2015,4.2
5052,TX,1/1/2014,5.98
5059,TX,1/1/2014,4.74
5060,TX,1/1/2015,4.1
5065,TX,1/1/2014,9.33
5069,TX,1/1/2014,7.19
5070,TX,1/1/2015,6.2
5081,TX,1/1/2014,4.6
5082,TX,1/1/2015,3.9
5083,TX,1/1/2014,8.82
5084,TX,1/1/2015,8.7
5087,TX,1/1/2014,3.05
5088,TX,1/1/2015,2.9
5099,TX,1/1/2014,2.72
5100,TX,1/1/2015,4.8
5101,TX,1/1/2014,10.37
5102,TX,1/1/2015,9.2
5103,TX,1/1/2014,9.16
5104,TX,1/1/2015,8.4
5109,TX,1/1/2014,2.05
5110,TX,1/1/2015,2.1
5113,TX,1/1/2014,4.02
5114,TX,1/1/2015,4.3
5115,TX,1/1/2014,4.63
5116,TX,1/1/2015,4.6
5121,TX,1/1/2014,2.93
5122,TX,1/1/2015,3.0
5126,TX,1/1/2015,7.3
5127,TX,1/1/2014,4.2
5128,TX,1/1/2015,4.6
5131,TX,1/1/2014,6.28
5132,TX,1/1/2015,4.2
5143,TX,1/1/2014,9.5
5144,TX,1/1/2015,8.9
5147,TX,1/1/2014,5.99
5148,TX,1/1/2015,7.6
5149,TX,1/1/2014,2.95
5150,TX,1/1/2015,2.9
5155,TX,1/1/2014,5.43
5156,TX,1/1/2015,5.0
5159,TX,1/1/2014,3.86
5160,TX,1/1/2015,5.1
5171,TX,1/1/2014,5.49
5172,TX,1/1/2015,6.1
5183,TX,1/1/2014,7.65
5184,TX,1/1/2015,5.4
5185,TX,1/1/2014,9.28
5186,TX,1/1/2015,8.0
5193,TX,1/1/2014,6.23
5194,TX,1/1/2015,5.5
5205,TX,1/1/2014,9.31
5206,TX,1/1/2015,9.0
5211,TX,1/1/2014,6.29
5212,TX,1/1/2015,5.5
5213,TX,1/1/2014,5.15
5214,TX,1/1/2015,5.3
5217,TX,1/1/2014,2.55
5218,TX,1/1/2015,3.3
5219,TX,1/1/2014,5.72
5227,TX,1/1/2014,3.63
5228,TX,1/1/2015,3.6
5233,TX,1/1/2014,6.87
5234,TX,1/1/2015,6.2
5235,TX,1/1/2014,3.33
5238,TX,1/1/2015,10.7
5241,TX,1/1/2014,6.04
5242,TX,1/1/2015,5.9
5246,TX,1/1/2014,4.51
5247,TX,1/1/2015,5.7
5248,TX,1/1/2014,6.69
5249,TX,1/1/2015,8.4
5252,TX,1/1/2014,3.15
5253,TX,1/1/2015,3.2
5258,TX,1/1/2014,8.78
5259,TX,1/1/2015,6.9
5260,TX,1/1/2014,8.25
5261,TX,1/1/2015,7.9
5266,TX,1/1/2014,2.61
5267,TX,1/1/2015,2.8
5280,TX,1/1/2014,2.28
5281,TX,1/1/2015,2.4
5284,TX,1/1/2014,5.85
5285,TX,1/1/2015,4.6
5290,TX,1/1/2014,8.94
5291,TX,1/1/2015,8.7
5292,TX,1/1/2014,3.44
5293,TX,1/1/2015,3.7
5302,TX,1/1/2014,9.01
5303,TX,1/1/2015,9.9
5305,TX,1/1/2014,5.31
5306,TX,1/1/2015,4.4
5309,TX,1/1/2014,8.18
5310,TX,1/1/2015,5.8
5317,TX,1/1/2014,5.27
5318,TX,1/1/2015,4.9
5319,TX,1/1/2014,4.55
5320,TX,1/1/2015,4.6
5323,TX,1/1/2014,6.57
5324,TX,1/1/2015,6.2
5325,TX,1/1/2014,3.74
5326,TX,1/1/2015,4.1
5327,TX,1/1/2014,3.37
5328,TX,1/1/2015,2.8
5332,TX,1/1/2015,6.4
5333,TX,1/1/2014,5.58
5334,TX,1/1/2015,4.1
5337,TX,1/1/2014,5.44
5339,TX,1/1/2014,3.59
5340,TX,1/1/2015,3.0
5341,TX,1/1/2014,5.76
5342,TX,1/1/2015,4.8
5343,TX,1/1/2014,5.85
5344,TX,1/1/2015,5.5
5345,TX,1/1/2014,4.77
5346,TX,1/1/2015,5.3
5347,TX,1/1/2014,8.27
5348,TX,1/1/2015,8.9
5352,TX,1/1/2015,5.1
5353,TX,1/1/2014,7.43
5354,TX,1/1/2015,5.4
5356,TX,1/1/2015,4.3
5359,TX,1/1/2014,5.45
5360,TX,1/1/2015,4.7
5365,TX,1/1/2014,1.38
5366,TX,1/1/2015,1.5
5367,TX,1/1/2014,3.56
5368,TX,1/1/2015,5.0
5371,TX,1/1/2014,2.75
5372,TX,1/1/2015,2.5
5373,TX,1/1/2014,4.17
5374,TX,1/1/2015,4.9
5391,UT,1/1/2014,1.2
5392,UT,1/1/2015,1.2
5413,UT,1/1/2014,3.13
5414,UT,1/1/2015,2.8
5427,UT,1/1/2014,0.92
5428,UT,1/1/2015,1.0
5431,UT,1/1/2014,1.45
5432,UT,1/1/2015,1.9
5435,UT,1/1/2014,2.22
5436,UT,1/1/2015,1.9
5437,VA,1/1/2014,8.66
5438,VA,1/1/2015,13.7
5440,VA,1/1/2015,1.8
5441,VA,1/1/2014,4.11
5442,VA,1/1/2015,2.7
5449,VA,1/1/2014,9.89
5451,VA,1/1/2014,1.62
5452,VA,1/1/2015,1.6
5453,VA,1/1/2014,4.36
5454,VA,1/1/2015,2.8
5469,VA,1/1/2014,9.23
5470,VA,1/1/2015,10.1
5475,VA,1/1/2014,4.79
5476,VA,1/1/2015,5.2
5477,VA,1/1/2014,5.3
5479,VA,1/1/2014,4.78
5485,VA,1/1/2014,5.48
5486,VA,1/1/2015,4.0
5487,VA,1/1/2014,6.5
5488,VA,1/1/2015,5.9
5489,VA,1/1/2014,4.73
5490,VA,1/1/2015,3.9
5503,VA,1/1/2014,17.1
5504,VA,1/1/2015,18.6
5507,VA,1/1/2014,5.81
5513,VA,1/1/2014,2.12
5514,VA,1/1/2015,1.9
5519,VA,1/1/2014,3.58
5520,VA,1/1/2015,3.7
5525,VA,1/1/2014,3.71
5526,VA,1/1/2015,3.5
5529,VA,1/1/2014,3.49
5530,VA,1/1/2015,3.7
5547,VA,1/1/2014,6.68
5548,VA,1/1/2015,7.3
5549,VA,1/1/2014,8.6
5550,VA,1/1/2015,8.0
5551,VA,1/1/2014,2.62
5552,VA,1/1/2015,3.2
5555,VA,1/1/2014,5.81
5556,VA,1/1/2015,5.1
5557,VA,1/1/2014,9.84
5558,VA,1/1/2015,10.3
5559,VA,1/1/2014,12.77
5560,VA,1/1/2015,14.1
5561,VA,1/1/2014,5.04
5562,VA,1/1/2015,7.2
5573,VA,1/1/2014,7.32
5574,VA,1/1/2015,7.1
5577,VA,1/1/2014,1.18
5578,VA,1/1/2015,1.0
5580,VA,1/1/2015,5.1
5583,VA,1/1/2014,3.37
5584,VA,1/1/2015,2.7
5589,VA,1/1/2014,5.93
5595,VA,1/1/2014,6.11
5596,VA,1/1/2015,5.9
5599,VA,1/1/2014,4.23
5600,VA,1/1/2015,3.8
5605,VA,1/1/2014,11.5
5606,VA,1/1/2015,10.2
5607,VA,1/1/2014,15.11
5608,VA,1/1/2015,11.8
5609,VA,1/1/2014,11.31
5617,VA,1/1/2014,4.5
5623,VA,1/1/2014,22.6
5624,VA,1/1/2015,24.1
5625,VA,1/1/2014,4.77
5626,VA,1/1/2015,4.9
5629,VA,1/1/2014,15.61
5630,VA,1/1/2015,14.7
5635,VA,1/1/2014,4.48
5637,VA,1/1/2014,2.98
5638,VA,1/1/2015,2.7
5647,VA,1/1/2014,27.93
5648,VA,1/1/2015,19.6
5649,VA,1/1/2014,2.52
5650,VA,1/1/2015,2.8
5651,VA,1/1/2014,10.35
5652,VA,1/1/2015,9.2
5665,VA,1/1/2014,4.4
5667,VA,1/1/2014,8.61
5669,VA,1/1/2014,2.3
5670,VA,1/1/2015,2.3
5671,VA,1/1/2014,3.28
5672,VA,1/1/2015,3.1
5673,VA,1/1/2014,6.02
5675,VA,1/1/2014,7.42
5676,VA,1/1/2015,6.6
5681,VA,1/1/2014,7.06
5682,VA,1/1/2015,5.8
5683,VA,1/1/2014,4.42
5684,VA,1/1/2015,4.0
5687,VA,1/1/2014,2.92
5688,VA,1/1/2015,2.8
5698,VA,1/1/2015,4.4
5709,VT,1/1/2014,1.67
5710,VT,1/1/2015,1.3
5723,VT,1/1/2014,2.29
5724,VT,1/1/2015,2.7
5735,WA,1/1/2014,2.61
5736,WA,1/1/2015,1.8
5737,WA,1/1/2014,2.65
5738,WA,1/1/2015,3.6
5739,WA,1/1/2014,2.66
5740,WA,1/1/2015,4.3
5741,WA,1/1/2014,2.74
5742,WA,1/1/2015,2.4
5745,WA,1/1/2014,3.15
5746,WA,1/1/2015,3.6
5751,WA,1/1/2014,4.21
5752,WA,1/1/2015,3.6
5755,WA,1/1/2014,5.31
5756,WA,1/1/2015,5.4
5757,WA,1/1/2014,2.8
5758,WA,1/1/2015,3.6
5763,WA,1/1/2014,3.46
5764,WA,1/1/2015,2.9
5765,WA,1/1/2014,1.8
5766,WA,1/1/2015,1.7
5771,WA,1/1/2014,3.49
5772,WA,1/1/2015,4.5
5775,WA,1/1/2014,3.45
5776,WA,1/1/2015,3.6
5777,WA,1/1/2014,6.09
5778,WA,1/1/2015,5.0
5783,WA,1/1/2014,4.09
5784,WA,1/1/2015,3.9
5787,WA,1/1/2014,2.89
5788,WA,1/1/2015,2.8
5791,WA,1/1/2014,2.33
5792,WA,1/1/2015,2.0
5793,WA,1/1/2014,3.27
5794,WA,1/1/2015,3.1
5795,WA,1/1/2014,4.02
5796,WA,1/1/2015,4.3
5797,WA,1/1/2014,2.28
5798,WA,1/1/2015,2.3
5803,WA,1/1/2014,2.23
5804,WA,1/1/2015,2.2
5807,WA,1/1/2014,7.82
5808,WA,1/1/2015,8.1
5817,WI,1/1/2014,2.0
5818,WI,1/1/2015,1.6
5829,WI,1/1/2014,2.55
5833,WI,1/1/2014,1.52
5834,WI,1/1/2015,1.5
5867,WI,1/1/2014,2.9
5868,WI,1/1/2015,2.6
5881,WI,1/1/2014,1.74
5882,WI,1/1/2015,1.9
5889,WI,1/1/2014,11.32
5890,WI,1/1/2015,10.2
5897,WI,1/1/2014,0.91
5898,WI,1/1/2015,0.9
5911,WI,1/1/2014,4.12
5912,WI,1/1/2015,3.9
5915,WI,1/1/2014,3.06
5916,WI,1/1/2015,3.4
5928,WI,1/1/2015,2.1
5937,WI,1/1/2014,1.7
5938,WI,1/1/2015,1.4
5941,WI,1/1/2014,1.67
5942,WI,1/1/2015,2.0
5943,WI,1/1/2014,0.89
5944,WI,1/1/2015,1.0
5949,WI,1/1/2014,1.66
5950,WI,1/1/2015,1.4
5952,WI,1/1/2015,2.3
5955,WV,1/1/2014,4.38
5956,WV,1/1/2015,3.6
5958,WV,1/1/2015,6.3
5963,WV,1/1/2014,6.74
5964,WV,1/1/2015,5.9
5971,WV,1/1/2014,4.63
5972,WV,1/1/2015,6.1
5978,WV,1/1/2015,4.7
5982,WV,1/1/2015,4.9
5985,WV,1/1/2014,5.44
5986,WV,1/1/2015,4.9
5987,WV,1/1/2014,5.92
5988,WV,1/1/2015,5.6
5991,WV,1/1/2014,6.95
5992,WV,1/1/2015,7.0
5994,WV,1/1/2015,9.9
5997,WV,1/1/2014,8.6
5998,WV,1/1/2015,10.5
5999,WV,1/1/2014,3.05
6000,WV,1/1/2015,2.5
6005,WV,1/1/2014,13.68
6006,WV,1/1/2015,15.3
6007,WV,1/1/2014,9.49
6008,WV,1/1/2015,11.5
6011,WV,1/1/2014,5.82
6012,WV,1/1/2015,8.1
6014,WV,1/1/2015,1.5
6019,WV,1/1/2014,6.0
6020,WV,1/1/2015,5.7
6029,WV,1/1/2014,4.84
6030,WV,1/1/2015,6.6
6031,WV,1/1/2014,2.62
6033,WV,1/1/2014,5.28
6034,WV,1/1/2015,6.6
6051,WV,1/1/2014,7.35
6052,WV,1/1/2015,6.8
6059,WV,1/1/2014,3.29
6060,WV,1/1/2015,3.3
6061,WV,1/1/2014,8.29
6062,WV,1/1/2015,8.5
6075,WY,1/1/2014,9.72
6076,WY,1/1/2015,12.8
6083,WY,1/1/2014,3.57
6084,WY,1/1/2015,2.5
6087,WY,1/1/2014,3.16
6088,WY,1/1/2015,4.2
